Nombre del archivo,Placa,Placa detectada,errores,similaridad
"S1,CAM2,250212154029398,4508LTX,9976.jpg",4508LTX,4508LTX,[],1.0
"S1,CAM2,250212152425026,4617KDD,9999.jpg",4617KDD,4617KDD,[],1.0
"S1,CAM2,250212150614146,8383FVV,9935.jpg",8383FVV,8383FVV,[],1.0
"S1,CAM2,250212150304749,8123KTG,9999.jpg",8123KTG,8123KTG,[],1.0
"S1,CAM2,250212151018195,4533LGL,9961.jpg",4533LGL,4533LGL,[],1.0
"S1,CAM2,250212152508352,8108LFX,9997.jpg",8108LFX,8108LFX,[],1.0
"S1,CAM2,250212153134660,0125JMM,9992.jpg",0125JMM,0125JMM,[],1.0
"S1,CAM2,250212152940979,7206MSG,9998.jpg",7206MSG,7206MSG,[],1.0
"S1,CAM2,250212155133098,6968MLH,9986.jpg",6968MLH,6968MLH,[],1.0
"S1,CAM2,250212153615599,3201HRJ,9995.jpg",3201HRJ,3201HRJ,[],1.0
"S1,CAM2,250212153033945,5520LKG,9994.jpg",5520LKG,5520LKG,[],1.0
"S1,CAM2,250212145739969,5164BZB,9943.jpg",5164BZB,5164BZB,[],1.0
"S1,CAM2,250212152457009,7418FZH,10000.jpg",7418FZH,7418FZH,[],1.0
"S1,CAM2,250212150251641,8710JTR,9958.jpg",8710JTR,8710JTR,[],1.0
"S1,CAM2,250212150225283,4837GXC,9990.jpg",4837GXC,4837GXC,[],1.0
"S1,CAM2,250212145721236,1433GDD,9967.jpg",1433GDD,1433GDD,[],1.0
"S1,CAM2,250212145650331,6165MNK,9992.jpg",6165MNK,6165MNK,[],1.0
"S1,CAM2,250212144225298,7083FRH,9980.jpg",7083FRH,7083FRH,[],1.0
"S1,CAM2,250212145533679,9160FRR,9986.jpg",9160FRR,9160FRR,[],1.0
"S1,CAM2,250212145247719,3930JJH,9998.jpg",3930JJH,3930JJH,[],1.0
"S1,CAM2,250212144821139,6872KYS,9998.jpg",6872KYS,6872KYS,[],1.0
"S1,CAM2,250212141903356,9958GVB,9922.jpg",9958GVB,9958GVB,[],1.0
"S1,CAM2,250212143116147,8608MMY,9943.jpg",8608MMY,8608MMY,[],1.0
"S1,CAM2,250212145641738,9962LLM,9992.jpg",9962LLM,9962LLM,[],1.0
"S1,CAM2,250212143923667,4750KSD,9831.jpg",4750KSD,4750KSD,[],1.0
"S1,CAM2,250212142941620,SE7061DN,9958.jpg",SE7061DN,SE7061DN,[],1.0
"S1,CAM2,250212141101147,7812FRV,9985.jpg",7812FRV,7812FRV,[],1.0
